TOI,a_m,b,depth,sigma
529.01,2465350468.28767,7.694596471822482,0.9143560139,0.0023136906739944
1256.01,1507598079.9679656,6.300143128506309,0.9738884918,0.0017206772081504
4181.01,1618027529.0250132,5.896210480310185,0.97666326109,0.0029441595021734
4341.01,9712463677.19122,5.755507032481157,0.990864788984,0.0032015826848991
513.01,2831596387.604429,4.822605258777277,0.98336471006,0.003538658332521
785.01,16909836249.058464,4.65048702753957,0.9995750725193,0.0001150679762586
4346.01,6192645459.316635,4.237636363246274,0.9994003680901,0.000165441578874
543.01,1273467608.2442842,4.135179316806315,0.9665464028,0.0042190196499793
4345.01,12515186446.57616,3.9920794080818633,0.98488060999,0.0072040502987441
1632.01,6146938148.393546,3.9666589588403474,0.8822759716999999,0.0130554644571136
4569.01,2177362868.659025,3.6138678093034713,0.993993482493,0.0028403743666881
639.01,3786333373.7235966,3.4213259694242533,0.8163689664,0.0086161869144715
709.01,23606420682.75689,3.404977463660295,0.94742012591,0.0030828167534348
1474.01,5548050471.10783,3.1971375724274056,0.98413200798,0.0027735178556108
1216.01,7038729014.364832,3.1780550703979937,0.9997968185079,6.447032307776575e-05
566.01,2070712865.7325485,3.161177276310242,0.997475432337,0.0006070359322163
636.01,1173500569.2927108,3.127583503455403,0.95835510689,0.0049190076369336
203.01,23922357158.476845,2.867626621943436,0.997466,0.0007641030962929
708.01,5336718219.525838,2.79085780973534,0.99964723328,9.073110193637608e-05
1234.01,3733754190.184856,2.626506492014138,0.98498005791,0.0023681172737674
4622.01,2689396118.818752,2.551303975431152,0.94780249946,0.0126791252323099
4337.01,4332625481.561177,2.523273941476098,0.997908294427,0.0004825887131866
497.01,3999102261.044338,2.271351894570872,0.98829274276,0.003015473718224
2640.01,1729844417.060718,2.2411586007405973,0.92895243603,0.0145937863843558
2022.01,1455208478.1231236,2.228863836876816,0.996427967197,0.0001452546204537
464.01,1992010738.263208,2.167161851037167,0.95528781884,0.0100556855659602
1178.01,4618117146.912563,2.0287041421629537,0.999410712,8.417318010090356e-05
643.01,9280949683.142515,1.9538597422908195,0.9569114351,0.0052640263713836
516.01,2406031066.523259,1.9247406538619407,0.96535504602,0.0045172071855417
900.01,7325386770.428556,1.9095635473443748,0.998658059874,0.0004377575108312
716.01,2066081911.784901,1.899652542496152,0.9972545,0.0004234656939958
526.01,8839330606.393642,1.7710611088635912,0.991927530434,0.0011783666349658
1028.01,2676491327.1768823,1.7507236793492378,0.99976,3.2061623890985705e-05
775.01,17800921703.25064,1.682724071419129,0.992950622261,0.0002460579073692
1639.01,2300583585.0057063,1.6554986740115645,0.996843434174,0.0007637715062027
3562.01,3738370768.439444,1.6040868870286675,0.99781,0.0003104086555765
891.01,7596890436.582223,1.5924173717109336,0.999315729,0.0003366099720188
460.01,1583405195.3394156,1.5288838739476225,0.96680929309,0.0029277439942859
4357.01,4412291637.511028,1.5280913663315878,0.9998705958799,3.27336664986997e-05
1026.01,17281921325.66363,1.527329553307601,0.998753607813,0.0005509894904528
4554.01,33276732223.47939,1.500385367900994,0.9996625438385,0.0001610501783554
284.01,3169145331.054027,1.4948462489263692,0.9998358692533,4.1345605978813255e-05
689.01,3800862175.634228,1.4921207049213114,0.99203555,0.0002536322344846
3921.01,21777705889.30244,1.486933018975758,0.96428,0.0005738342505613
1990.01,7435353609.240446,1.4692931572377106,0.995654562657,0.0001521385821605
2296.01,76809919441.47502,1.4583801554386282,0.9995967311965,0.0002346371931904
531.01,1450641645.6959982,1.4573260160086774,0.994791447483,0.0019105646766302
971.01,5279297042.902085,1.453482637887897,0.9990890362994,0.0001598989396195
816.01,3407751984.1732106,1.438813181584016,0.99687206,0.000194334540369
1423.01,5401866905.982707,1.4218758889367902,0.997145541071,0.0003206919157659
2283.01,1280247141.1855624,1.4138764322007156,0.9998886351989,5.33648733331914e-05
1275.01,14610805456.736202,1.4071177419943477,0.998062417028,0.0004346670314211
5402.01,5726696041.312568,1.3548440436459694,0.9995402144688,0.0001938489001631
3746.01,3886676819.530448,1.3525315773772209,0.9982,0.0004719683024672
5278.01,1211245180.6684234,1.3517712197320129,0.89891,0.0042860136354072
3659.01,4966319344.467186,1.338619648007437,0.98752392063,0.0010340066631041
3977.01,23855295933.7543,1.3359741094321482,0.99059,0.000442890754561
2816.01,6170622158.850756,1.3352600000548027,0.99239,0.0010175177743374
1433.01,12270298113.704586,1.314534069866338,0.8763067398,0.0034459757037285
224.01,186951002482.68576,1.3087778631978306,0.898795154,inf
573.01,11629390231.169384,1.3067116880327947,0.8432335705,0.0019453651453398
1139.01,9867799590.283636,1.3021520918018454,0.9986574763,0.0002396698421867
420.01,5071784772.733114,1.2986451140646231,0.99922,0.000151871651419
719.01,7512206301.009864,1.2838857437074134,0.999566,5.936057346915429e-05
1646.01,5120832187.126361,1.2509719448681296,0.97302017895,0.0022567795752337
1276.01,5618300735.776286,1.2342165601948034,0.995994977192,0.0020181816056018
472.01,1595849647.7379174,1.220566668767758,0.95746,0.0006096767992127
1289.01,1471713605.0998898,1.2184613525001535,0.996793398998,0.0011448558301645
1448.01,8479803085.96009,1.2129427164823994,0.995276927562,0.0017115060397391
734.01,4590252546.498188,1.201465805387791,0.7695650173,0.0160860657445498
4988.01,4537120651.013997,1.198191064778291,0.95383,0.0090993008725549
147.01,6652189231.6473255,1.1924744465460015,0.9918,0.000187002140973
538.01,3107369422.1484013,1.1879439532180829,0.98933444943,0.0034554133983253
2449.01,19889373287.68761,1.186510491517036,0.989832,0.0001299563549096
4397.01,8151887172.334067,1.1671067315268722,0.99916,0.0002448943214242
316.01,14333415236.276136,1.1600316842203031,0.9042819,0.0027579122639475
1341.01,11367484053.650928,1.1548682328845965,0.99073,0.0001151213423775
3498.01,7546729111.312151,1.143610632663092,0.9962,0.0007524454152389
5360.01,7812169834.965969,1.141270356189246,0.99171,0.0017191937095324
4512.01,18507386811.72808,1.1381435597600496,0.9986,0.0003862844943333
4522.01,1033346343.6162696,1.1379571074322294,0.96178321046,0.0112230049162595
556.01,4812937511.4280405,1.1317128459762005,0.999302527996,0.0003767874624446
1379.01,350072891145.3435,1.130044866844364,0.9818788,inf
5746.01,211140794435.5984,1.128500989208605,0.97902186321,inf
4432.01,5274068724.477392,1.1281626869715335,0.97235451404,0.0011329874916046
3761.01,22589124348.36105,1.122720917523791,0.97239,0.0039625343915872
5359.01,3212904470.0142784,1.1200620889200212,0.98413,0.007036759843951
2271.01,27538971373.270264,1.1197656124513953,0.99171,0.0003835701653135
3548.01,1228078726.669872,1.1100537114789022,0.99232,0.0010730615095623
2546.01,5175386675.977025,1.1098489183776632,0.9977,0.0005444135515327
917.01,27053972818.92455,1.1087485623439086,0.99533,0.0004983405632032
3967.01,9610240721.193668,1.1086025277059783,0.99913,0.0015024867980464
2537.01,271105097058.6165,1.1076328214117672,0.98036,inf
1703.01,3340780328.698841,1.105885648793257,0.99732,0.0003871260243953
593.01,18254710899.808453,1.1045957077347868,0.99524,0.0003856349001312
710.01,126159218586.36153,1.1041582876692482,0.994954804932,inf
3833.01,1497325171.095234,1.1037807942255258,0.99317,0.0007489823654389
830.01,18251831426.742798,1.0985316276601729,0.98195829697,0.0003870436622854
346.01,12667551742.418837,1.0981046044312637,0.98599,0.0017548318175883
4542.01,8786079765.711372,1.0907928461229126,0.98591,0.0021862026355489
1378.01,11919870772.648905,1.0903683034518157,0.99501,0.0002849500328712
1343.01,8932276781.61745,1.0903082423402597,0.99951,0.0001269674863274
456.01,687879611.1973292,1.0901497988832205,0.98174870791,0.0046781526751481
1855.01,3503707953.584388,1.086080722915738,0.99218,0.0005124285592312
334.01,21189016615.740726,1.0859691081363836,0.991069536292,0.0002336510006926
1412.01,7185274383.758083,1.085704260277601,0.99653,0.0006215494895159
1858.01,4170576663.771112,1.0842290062637847,0.97924,0.0012946884012836
433.01,4119654561.748494,1.0822496987363242,0.99632,0.0002242956245446
