TOI1165.01: TessTargetPixelFile(TICID: 458478250)
TOI1165.01: TessTargetPixelFile(TICID: 458478250)
TOI1259.01: TessTargetPixelFile(TICID: 288735205)
TOI1259.01: TessTargetPixelFile(TICID: 288735205)
TOI1259.01: TessTargetPixelFile(TICID: 288735205)
TOI1259.01: TessTargetPixelFile(TICID: 288735205)
TOI1682.01: TessTargetPixelFile(TICID: 367366318)
TOI1181.01: TessTargetPixelFile(TICID: 229510866)
TOI1864.01: TessTargetPixelFile(TICID: 229791084)
TOI1864.01: TessTargetPixelFile(TICID: 229791084)
TOI1725.01: TessTargetPixelFile(TICID: 86396382)
TOI1465.01: TessTargetPixelFile(TICID: 236887394)
TOI1465.01: TessTargetPixelFile(TICID: 236887394)
TOI1151.01: TessTargetPixelFile(TICID: 69679391)
TOI1351.01: TessTargetPixelFile(TICID: 258777137)
TOI1351.01: TessTargetPixelFile(TICID: 258777137)
TOI1351.01: TessTargetPixelFile(TICID: 258777137)
TOI1351.01: TessTargetPixelFile(TICID: 258777137)
TOI1351.01: TessTargetPixelFile(TICID: 258777137)
TOI1351.01: TessTargetPixelFile(TICID: 258777137)
TOI1351.01: TessTargetPixelFile(TICID: 258777137)
TOI1351.01: TessTargetPixelFile(TICID: 258777137)
TOI1351.01: TessTargetPixelFile(TICID: 258777137)
TOI1268.01: TessTargetPixelFile(TICID: 142394656)
TOI1268.01: TessTargetPixelFile(TICID: 142394656)
TOI1268.01: TessTargetPixelFile(TICID: 142394656)
TOI232.01: TessTargetPixelFile(TICID: 402026209)
TOI2131.01: TessTargetPixelFile(TICID: 27848472)
TOI1295.01: TessTargetPixelFile(TICID: 219852584)
TOI135.01: TessTargetPixelFile(TICID: 267263253)
TOI1150.01: TessTargetPixelFile(TICID: 16740101)
TOI1150.01: TessTargetPixelFile(TICID: 16740101)
