Signal-to-noise,Source Pipeline,TIC,Full TOI ID,TOI Disposition
153,qlp,441075486,372.01,PC
152.00813,spoc,398943781,780.01,KP
152,spoc,379929661,625.01,PC
152,qlp,197807043,2423.01,PC
151.34627,spoc,437242640,744.01,KP
151.28236,spoc,204376737,231.01,KP
151,qlp,158623531,246.01,KP
150.86598,spoc,420645189,1897.01,PC
148.46315,spoc,260304296,187.01,PC
148,qlp,162130054,1371.01,PC
147,qlp,356590734,1951.01,PC
146.81227,spoc,39903405,2020.01,KP
146.10007,spoc,335630746,778.01,PC
145.8818,spoc,237200747,1270.01,PC
145.54425,spoc,158324245,1161.01,KP
145.51558,spoc,70797900,224.01,PC
145,qlp,279999655,959.01,PC
144.4699,spoc,20182165,1830.01,PC
143.36026,spoc,373693175,1810.01,KP
142.95792,spoc,229400092,1826.01,PC
142.40086,spoc,14091633,447.01,EB
142,qlp,451599528,1104.01,PC
141.85887,spoc,239154970,1714.01,KP
141.05899,spoc,230088370,1176.01,PC
141,qlp,233964642,334.01,PC
140,qlp,229536616,1297.01,PC
139.78484,spoc,170634116,413.01,KP
139.40283,spoc,219205407,946.01,EB
139.30116,spoc,183537452,192.01,KP
138,qlp,252616865,1482.01,PC
137.58173,spoc,159510109,1141.01,PC
137.03453,spoc,444013020,2547.01,KP
137,qlp,385624852,1041.01,PC
136.91982,spoc,178284730,418.01,KP
136,qlp,219164808,504.01,EB
135.95987,spoc,236312126,2021.01,KP
135.81752,spoc,38846515,106.01,KP
135.34671,spoc,151681127,671.01,PC
135,qlp,159951311,265.01,KP
135,qlp,317483660,2346.01,PC
134.84258,spoc,66818296,1050.01,KP
134,qlp,394050135,2025.01,PC
133.4081,spoc,280206394,677.01,PC
133,qlp,392476080,2109.01,PC
132,qlp,387079085,1092.01,PC
131.48947,spoc,92352620,107.01,KP
131,qlp,294179385,1454.01,PC
129,qlp,122220263,1134.01,PC
129,qlp,179155220,964.01,PC
129,qlp,254113311,1130.01,PC
129,qlp,363761216,2047.01,PC
128.21593,spoc,389352124,2197.01,KP
128,qlp,270841724,590.01,PC
128,qlp,232641326,1874.01,PC
127.39685,spoc,360742636,1076.01,KP
127,qlp,32283946,845.01,PC
126.293724,spoc,349827430,1148.01,KP
126,qlp,38467100,2310.01,PC
126,qlp,159332859,2574.01,PC
126,qlp,154927364,1647.01,PC
126,qlp,404467699,857.01,PC
126,qlp,354469661,1580.01,PC
124.73732,spoc,120757718,1236.01,KP
124.317764,spoc,321857016,1420.01,PC
124,qlp,346338552,1388.01,KP
124,qlp,1129033,398.01,KP
123.55711,spoc,178367144,966.01,PC
123,qlp,2041563029,1427.01,PC
123,qlp,272758199,1845.01,PC
123,qlp,142381532,1823.01,PC
122,qlp,453789494,1907.01,KP
121.88557,spoc,424435940,1627.01,KP
121,qlp,102713734,2580.01,PC
121,qlp,425163745,937.01,PC
120.18607,spoc,140760434,1229.01,EB
120,qlp,294179389,1310.01,PC
119.97359,spoc,138819293,1796.01,KP
119.0694,spoc,325680697,414.01,PC
119,qlp,207081058,121.01,PC
