TOI,p_value,Period (d),Rp (R_Earth),Planet Eq Temp (K),Planet SNR,Distance (pc),Stellar Teff (K),R_star (R_Sun),M_star (M_Sun)
2651.01,,7.3164282,17.3698,738,212,396.637,4884,0.83,0.8
2666.01,,,16.6553,599,235,32.6024,5212,1.11,0.89
2690.01,,4.1549988,,,109,,,,
2704.01,,3.6364993,16.4306,1557,131,718.493,6552,1.23,1.36
2724.01,,1.4875055,18.3083,1349,199,396.678,5142,0.83,0.87
2745.01,,1.7932884,22.7665,,102,744.184,7122,1.74,
2766.01,,7.2748135,17.4324,,151,453.429,6792.7,1.4,
2783.01,,2.3044132,22.8234,1460,143,517.422,,1.55,
2799.01,,1.4367914,16.9266,1742,116,651.979,5873,1.07,1.06
2803.01,,1.962292,17.4523,1882,124,494.818,6384,1.16,1.28
2826.01,,1.9275568,,2518,111,936.741,9168,,
2840.01,,1.532427,19.4762,1756,105,609.523,5957,1.11,1.09
2889.01,,3.6579148,,1512,138,937.591,5765,,
2969.01,,1.8237148,12.3326,944,142,163.996,4581,0.78,0.72
2989.01,,3.1228396,13.4539,850,106,195.795,4262,0.77,0.666
3010.01,,9.5537684,18.0441,933,106,421.094,5816,1.27,1.05
3041.01,,2.9599541,15.9636,1692,140,484.97,6267.7,1.84,1.22
3085.01,,4.5300175,,2324,178,1938.67,9046,,
3109.01,,2.8831285,28.6734,1332,170,,,1.77,
3136.01,,2.6841972,20.8582,1451,116,572.389,5914,1.17,1.08
3241.01,,6.8379451,18.0337,919,104,300.417,5912,0.96,1.08
3321.01,,3.6525305,14.7302,1553,139,285.895,5930,1.47,1.08
3329.01,,5.0648607,13.4126,1466,115,441.315,6411,1.34,1.29
3460.01,,4.6288384,17.2704,2291,110,205.426,5978.9,2.22,1.375
3492.01,,9.2226358,15.3135,1170,111,201.957,6332,2.59,1.25
3501.01,,15.34925508,18.73614848,747.7252776,137.7596,206.21,5782.5,1.002490044,1.099
3589.01,,3.0830619,19.9441,2075,122,574.124,7658.5,1.61,1.79
3604.01,,1.0666884,,1549,156,,4893.1,,
3612.01,,1.4822451,14.0641,1278,115,360.313,5115,0.91,0.86
3735.01,,3.352748,11.2377,1632,118,278.597,6245,1.02,1.211
3791.01,,3.1833866,13.8558,1268,125,476.831,6405,1.39,1.31
3822.01,,3.1235114,13.3719,1194,105,359.079,5376,1.04,0.93
3846.01,,1.540776,13.3674,1061,161,213.771,4234,0.77,0.662
3849.01,,1.2220437,14.8723,1556,115,489.128,5196,1,0.88
3856.01,,2.0436029,13.3605,1179,110,314.443,5568,1.13,0.98
3883.01,,7.0078932,12.8486,1037,192,295.431,6307,1.06,1.24
3889.01,,2.5228506,12.9082,1166,107,301.63,5294,0.84,0.91
3894.01,,4.3345378,14.3572,1347,127,417.365,6314.8,1.43,1.21
3910.01,,5.7158895,12.3206,823,172,245.248,5224,0.82,0.89
3922.01,,3.8960617,12.1401,845,115,262.531,5247,0.8,0.9
3960.01,,3.2399875,13.613,1230,146,541.735,5521,0.97,0.97
3972.01,,10.51135,11.565,784,139,162.569,5908,0.92,1.074
4059.01,,2.0381764,12.9442,1170,211,339.185,4928,0.82,0.81
4079.01,,1.9872259,15.6112,1670,109,360.76,6178,1.08,1.18
4087.01,,3.1774821,13.9176,1400,309,301.676,6071,1.12,1.13
4103.01,,12.2741006,12.7309,745,211,243.002,5674,1.05,1.009
4137.01,,3.8016435,13.4483,1438,107,334.993,6244,1.47,1.21
4138.01,,3.6600377,17.5475,1644,259,505.703,5988,1.89,1.11
4140.01,,4.2511214,11.2617,1097,107,311.002,5501,0.94,0.965
4145.01,,4.0664531,12.7314,1013,220,205.387,5421,0.86,0.944
4153.01,,4.6174187,17.5913,1547,189,423.84,6411,1.67,1.289
4283.01,,3.0130918,17.5256,1681,161,417.879,6838,1.4,1.48
4381.01,,1.497422346,16.71156513,1375.710989,130.13509,289.745,5377,0.841058016,0.93
4398.01,,5.7525297,,,110,213.41,,,
4420.01,,4.7259465,19.3465,1700,115,230.661,6203,1.86,1.19
4427.01,,4.6182616,13.5562,929,174,198.251,5328,0.89,0.919
4429.01,,3.45057,13.3411,1210,108,461.898,5402,1.04,0.94
4436.01,,1.7590583,21.6496,2130,254,621.061,6250,2,1.21
4449.01,,2.7518942,12.9899,1059,127,213.604,5856,1.28,1.058
4458.01,,3.9393773,13.625,1783,111,505.432,5904.4,2.1,1.11
4465.01,,,11.62,941,257,121.139,5557,0.99,0.979
4470.01,,2.2185706,13.5327,983,1236,19.7638,5023,0.78,0.84
4486.01,,2.6915832,17.1105,2205,174,350.351,6955,1.96,1.522
4516.01,,3.722655696,11.45128775,940.5852197,156.81589,124.73,4926,0.820640028,0.809
4530.01,,3.652821,13.0049,1160,141,300.384,5610,0.91,0.993
4536.01,,4.046065647,16.06184128,1748,121.015045,376.658,6404,1.81,1.29
4543.01,,5.7740318,24.6129,1412,168,,4837.8,3.19,
4545.01,,4.0248873,11.4611,829,104,232.801,4492,0.77,0.71
4606.01,,11.1684037,12.77,1171,278,130.72,5981,1.22,1.1
4608.01,,2.3494907,18.7348,2614,102,550.363,7418.5,1.51,1.7
4612.01,,4.113769,14.5845,1715,434,134.058,6327,1.88,1.249
4618.01,,3.7998451,13.2747,604,108,143.651,4133.4,0.76,0.647
4623.01,,3.258811029,12.86844318,1047.390126,151.31818,178.475,5387.06,0.817113996,0.935
4725.01,,2.0763072,12.6426,1100,104,367.045,5805,0.95,1.043
4726.01,,4.2971136,14.1426,1000,115,250.87,5203,0.85,0.88
4731.01,,1.4553693,13.4308,1671,102,,6344.5,1.25,
5072.01,,5.1857547,7.60282,765,124,169.398,4664.8,0.65,0.74
5074.01,,3.0801855,17.5341,1883,468,226.5,7511,1.7,1.732
5086.01,,2.9956366,13.1857,1530,418,348.646,6135.5,1.4,1.162
5091.01,,3.6413702,16.4955,1685,101,500.511,6832,1.5,1.475
5093.01,,2.2983835,15.2047,916,132,202.152,4221.54,0.79,0.66
5094.01,,3.3366859,4.36319,703,134,29.4214,3552,0.5,0.497757
5096.01,,2.87532875,10.44863944,886.122588,257.67126,71.0374,4604,0.678270996,0.73
5098.01,,3.5438893,19.5349,1678,128,697.004,6466,1.75,1.32
5144.01,,2.655675251,,1282.980317,300.182,141.887,5817.3,,
5148.01,,5.0637199,13.5595,1501,101,237.514,5447,1.91,0.95
5149.01,,27.3716673,17.7898,870,158,298.458,5903,1.71,1.073
5226.01,,7.8284207,17.0783,1134,123,296.602,5707,0.94,1.017
5374.01,,2.91640045,16.77836104,1701.0031,144.50359,246.81,5720,1.827440023,1.02
5379.01,,12.7438986,16.8847,1067,159,200.226,6385,1.47,1.277
5384.01,,2.9895092,18.81822184,1694.810941,247.27235,218.05,6317,1.613960028,1.24
5386.01,,3.6215615,15.1893,1202,149,394.486,5920.2,1.43,1.1
5394.01,,15.1935123,9.68144,844,167,64.2806,5977,1.07,1.1
5518.01,,4.469996,11.2936,1523,153,379.6726,6948,1.12,
5540.01,,0.5497871,11.3897,2999,138,242.868,6040,1.51,1.122
5631.01,,2.2438471,14.2892,1690,231,161.997,6458,1.33,1.312
5640.01,,13.0518467,17.0183,626,148,257.567,5268.9,0.83,0.9
5686.01,,4.2366105,15.7108,1206,123,394.427,5407.5,1.28,0.94
