TOI,p_value,Period (d),Rp (R_Earth),Planet Eq Temp (K),Planet SNR,Distance (pc),Stellar Teff (K),R_star (R_Sun),M_star (M_Sun)
481.01,,10.33115642,11.79417272,1097.302111,231.43292,179.366,5760,1.728160024,1.04
483.01,,4.378080652,15.17673459,1469.908413,197.32759,290.684,5570,1.792240024,1.02
490.01,,2.810600099,15.97797597,1578.694752,227.00652,213.985,6304,1.340039968,1.254
495.01,,1.2749246,22.1016,2391,631,269.898,6459,1.52,1.45
501.01,,1.7100535,17.2191,1493,352,250.121,5720,1.51,1.06
503.01,,3.6773551,11.5816,1587,156,255.416,7887,1.68,1.835
504.01,0.005,1.68,29.28,3110.00,277,425.72,6915.00,2.56,1.62
505.01,,3.329464924,16.02696187,1616.264029,289.72116,324.683,6003,1.522379994,1.33
507.01,,0.899467701,17.12000783,866.8813273,137.94376,110.884,3338,0.505078018,0.503052
508.01,,4.6117328,18.7958,1722,226,300.276,7346,1.67,1.7
511.01,,3.3552499,16.4831,1584,207,415.344,6373,1.42,1.25
527.01,,18.08921029,22.2024283,984.1503966,162.58812,163.677,7403,1.836859941,
559.01,,6.9839072,12.2398,1249,170,233.266,5972,1.21,1.1
567.01,,1.537364492,13.75352105,1566.357932,129.6764,386.346,5959,0.959587991,1.08
573.01,,13.5773456,19.85441149,531.8530096,207.37064,88.3935,3404,0.338,0.339
585.01,0.004,5.55,19.61,1456.93,212,157.61,6118.10,1.66,1.34
587.01,,8.044238987,15.17610311,1902.184175,183.05827,210.139,9333,2.041140079,2.523
590.01,,18.90372,,,128,,,,
591.01,,8.4915117,87.0155,1924,230,1219.08,9365,4.18,2.38
615.01,,4.6616013,19.1734,1697,157,360.408,7437,1.7,1.7
621.01,,3.112361,18.92299,2186.455692,187.64789,184.125,7850,2.04956,2.09
622.01,,6.402526207,9.224439057,1274.226578,158.16978,123.297,7056,1.407199979,1.42
624.01,,2.7443212,20.2676,2412,170,330.739,8730,1.97,2.19
625.01,,4.786955,18.5954,1916,176,341.263,7668.6,1.91,1.796
626.01,,4.4010437,19.8248,2179,189,437.215,8489,2.32,2.11
628.01,,3.4076,12.1343,1586,170,178.68,6174,1.38,1.179
632.01,0.008,1.55,208.49,2376.00,263,1278.41,4997.10,12.23,
640.01,,5.003775382,19.93036591,1642.671087,129.08768,341.997,6442,2.087850094,1.3
645.01,,1.84051,13.9166,2267,113,414.522,5710.5,2.49,1.28
655.01,,0.788839248,16.12471289,1913.896152,211.58167,268.325,5568,1.028049946,0.97
656.01,,0.813473629,13.16015326,1302.836044,358.0055,86.7467,4400,0.757649004,0.65
660.01,,9.2896818,12.124,1174,101,352.181,6055,1.42,1.24
665.01,,14.065993,20.710905,797,109.28948,131.018,6157,1.41729,1.01
671.01,,10.1970275,23.6999,1514,307,279.74,7949,1.82,2.13
675.01,,4.1780629,15.4656,1422,357,159.507,5620,1.35,1.05
677.01,,11.23660493,12.98760369,959.7907047,167.4972,141.812,6446,1.288439989,1.18
679.01,,11.1755572,17.5049,1151,121,320.671,6655,1.91,1.402
683.01,,3.4058883,16.8846,1307,134,383.829,6302,1.27,1.2
738.01,,3.4405974,9.04642,1229,118,389.884,5324,0.94,0.91
744.01,,4.317684985,14.03915838,1158.507948,209.68974,132.096,5700,1.109009981,1.014
758.01,,13.273822,19.352315,889.1052168,178.86626,154.532,6072,1.26126,
766.01,,3.446452913,12.48818089,1199.932615,162.6013,283.971,5870,0.913091004,1.18
767.01,,3.764873,13.95182,1108.639991,155.86082,211.416,5703,0.92,1.025
769.01,,4.981664636,10.6855974,882.6410539,107.96148,177.291,5315,0.786807001,0.92
774.01,,4.46563433,14.64677635,1188.539353,155.33298,297.462,6070,1.090360045,1.134
778.01,,4.6336155,15.2453,1450,370,161.743,6780,1.68,1.428
780.01,,3.052440799,13.00980476,1135.5804,214.52219,163.371,5545,0.880069017,0.976
781.01,,1.3541351,14.0693,1415,102,341.925,5227,0.93,0.825
811.01,,25.1760133,14.2012,617,115,284.002,6025.9,1.24,1.12
818.01,,3.118536,11.857124,1194.985966,103.52802,194.134,5700,0.95,1.02
820.01,,3.752062,14.937131,1512.783609,107.7432,282.091,6300,1.48,1.176
822.01,,7.133518,10.9689,743,155,122.91,4775,0.79,0.76
828.01,,5.322154,13.376846,1333.908514,114.223114,200.075,6030,1.53,1.01
834.01,,2.675494843,16.24224608,1548.890349,170.26013,258.777,6783,1.344149947,1.1
841.01,,3.4934316,11.4663,914,133,306.068,5153,0.9,0.84
842.01,,2.7863839,11.6893,1067,166,368.8,5376,1,0.9
845.01,,7.06181,24.7848,1443,127,475.359,5818.3,1.49,1.06
857.01,,3.9080236,15.1385,1455,126,286.484,6143,1.63,1.16
858.01,,3.279728177,13.81175813,1402.263853,102.837204,250.489,5857,1.297469974,1.06
862.01,,3.310213577,,1222.991441,122.646454,,,,
899.01,,12.8461782,11.6129,712,140,304.798,5591,1.19,0.99
905.01,,3.739568775,14.00819283,1105.758128,169.74754,158.649,5565,1.000180006,0.93
924.01,,12.1273927,15.6802,665,358,251.24,5682,0.99,1.01
934.01,,3.781737,12.4301,915,247,301.872,4833,0.87,0.79
937.01,,0.27664,24.4651,3104,121,321.78,5341.6,1.78,1.033
946.01,,6.1253092,22.9909,777,276,164.458,5008.3,1.05,0.83
951.01,,2.96845,20.1857,1554,212,206.344,5761.5,1.4,1.231
953.01,,2.96844,19.3343,1559,209,204.316,5772,1.54,1.19
959.01,,1.54104,,2884,145,639.564,8264,,1.72
964.01,,0.60274,11.8344,3246,129,127.566,5146.2,0.83,0.895
966.01,,3.40924392,15.95710835,1404.017643,123.55711,253.985,6316,1.21069,1.244
984.01,,7.52118,12.9114,1841,103,442.789,6184.6,0.52,
986.01,,0.5476693,10.8302,4194,164,407.542,8274.5,1.65,1.94
987.01,,5.21517,16.9109,1580,105,375.582,6080,2.27,1.23
997.01,,8.413485569,20.51069589,857.7314308,177.73282,113.667,5786,0.926261,1.04
1012.01,,0.884182,24.8132,5098,102,295.959,8928,2.72,2.251
1019.01,,5.234096378,24.08788202,1574.838624,269.15555,399.544,7645,1.562029958,1.79
1025.01,0.049,9.68,,1914.70,229,129.84,8598.70,,
1029.01,,36.22214,,,285,,,,
1041.01,,8.30792,43.1068,1924,137,305.034,9081,3.05,2.3
1045.01,,3.7039994,17.57,2149,146,300.696,7013.8,1.9,1.58
1050.01,,3.735569718,21.08092539,1586.91165,169.347,405.908,6650,1.573230028,1.354
1059.01,,9.4496506,17.0216,694,114,98.8783,5509,0.94,0.88
1069.01,,2.977636947,14.03690873,1383.361352,163.32803,197.996,5703,1.220260024,1.025
1070.01,,2.977615173,26.88423,1386.5,108.84278,,5740,1.28,
1076.01,,2.549565889,12.88794332,1337.863673,170.58673,248.46,5659,1.03997004,1.01
1085.01,,3.254119,14.8796,,437,444.066,6102,1.28,
1092.01,,1.1923,30.666,3958,132,209.919,6534,2.04,1.35
1104.01,,341.2811281,4.753189177,846.173434,116.25811,70.0154,6058.6,1.392030001,1.13
1107.01,,4.078220971,13.84835564,1617.829135,141.05672,281.314,6501,1.748360038,1.33
1123.01,,1.20928,15.1764,,210,161.932,5159.8,1.27,0.96
