time,flux,flux_err,time_original,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
-0.2934581083826217,0.9990643691569059,0.0005896112580244639,1409.7992293416173,0,8.316016e-04,744.83451,1000.03192,1898368,7.1475273e+04,4.1993656e+01,1.3442214e+03,5.2649271e-01,7.7337562e+04,4.5641804e+01,0,nan,nan,nan,nan,744.83451,7.2415196e-04,1000.03192,6.3068682e-04,-3.0426448e-03,2.0593097e-02
-0.29330015768798584,0.999850980206762,0.0005792038329701977,1388.1909517423119,0,1.771302e-03,744.82663,1000.02897,1866642,7.3514320e+04,4.2473213e+01,1.2583571e+03,5.2616489e-01,7.9363195e+04,4.5974319e+01,0,nan,nan,nan,nan,744.82663,6.9949974e-04,1000.02897,6.1886443e-04,8.8493667e-05,-8.9085090e-04
-0.29321456299550575,0.999920320091763,0.000583355113569512,1438.6107202870044,0,-4.082530e-04,744.85289,999.99815,1940670,7.3081422e+04,4.2424850e+01,1.5298033e+03,5.2972221e-01,7.8862672e+04,4.6008610e+01,0,nan,nan,nan,nan,744.85289,7.2069711e-04,999.99815,6.1754865e-04,-3.3921227e-03,3.2342795e-02
-0.2931793479657689,0.9999077713987392,0.0005924159228704329,1460.2191910520341,0,-1.155988e-03,744.86101,999.96092,1972396,7.2390766e+04,4.2379505e+01,1.7484094e+03,5.3369868e-01,7.8127070e+04,4.6287991e+01,0,nan,nan,nan,nan,744.86101,7.3141244e-04,999.96092,6.2768999e-04,2.1274847e-03,-1.7308298e-02
-0.29317137217916145,1.0007615026740486,0.0005917709244585939,1402.5967042278207,0,1.152088e-03,744.83150,1000.03616,1887793,7.1937766e+04,4.2134693e+01,1.3167990e+03,5.2661878e-01,7.7547156e+04,4.5855232e+01,0,nan,nan,nan,nan,744.83150,7.1746600e-04,1000.03616,6.2949775e-04,-2.9271533e-04,5.1898821e-03
-0.2929550712297384,1.0007733856636813,0.0005820484323915935,1431.4081679287701,0,-1.147112e-04,744.85440,1000.00798,1930095,7.3395977e+04,4.2479904e+01,1.4710720e+03,5.2895170e-01,7.9102508e+04,4.6005909e+01,0,nan,nan,nan,nan,744.85440,7.1660185e-04,1000.00798,6.1436067e-04,1.6388708e-03,-1.6302146e-02
-0.29289033573539536,1.0002763389147953,0.0005957593346432175,1395.3941734142645,0,1.466874e-03,744.82686,1000.03346,1877218,7.0941320e+04,4.1862206e+01,1.2844781e+03,5.2583569e-01,7.6542461e+04,4.5588287e+01,0,nan,nan,nan,nan,744.82686,7.2442199e-04,1000.03346,6.3691614e-04,-4.3654247e-04,3.2119916e-03
-0.29277703876860095,1.001232360542309,0.0005900312527551205,1409.7999104112314,0,8.315712e-04,744.83566,1000.03382,1898369,7.1631000e+04,4.2026112e+01,1.3441869e+03,5.2653110e-01,7.7505562e+04,4.5674416e+01,0,nan,nan,nan,nan,744.83566,7.2257215e-04,1000.03382,6.2967266e-04,-3.0446227e-03,2.0595739e-02
-0.29261908586207397,0.9996409811926673,0.0005791567481727847,1388.1916328141378,0,1.771274e-03,744.82493,1000.02860,1866643,7.3497891e+04,4.2468769e+01,1.2583470e+03,5.2616388e-01,7.9345492e+04,4.5969982e+01,0,nan,nan,nan,nan,744.82493,6.9970102e-04,1000.02860,6.1896199e-04,9.0317539e-05,-9.0010976e-04
-0.2925335899406646,1.0005296253024705,0.0005835219390125469,1438.6114012600592,0,-4.082799e-04,744.85515,999.99882,1940671,7.3127930e+04,4.2436760e+01,1.5298239e+03,5.2972704e-01,7.8912930e+04,4.6023048e+01,0,nan,nan,nan,nan,744.85515,7.2056311e-04,999.99882,6.1729620e-04,-3.3887103e-03,3.2329679e-02
