time,flux,flux_err,time_original,centroid_col,centroid_row,cadenceno,quality
-0.45278050400270364,0.9992596585573712,0.0011408713352295799,1329.0202194962283,2044.3127827993553,1224.7058097372283,73127,0
-0.45139161666065775,0.9982640890883243,0.0011405253573977601,1329.0216083835703,2044.3189086564141,1224.6999021922995,73128,0
-0.45000272931952134,1.0001570038372782,0.0011413468381029099,1329.0229972709114,2044.3136511727337,1224.7035342779727,73129,0
-0.448613842035229,1.0004537108497011,0.0011409411454671077,1329.0243861581957,2044.3188011148832,1224.706824504238,73130,0
-0.44722495469250134,1.0017149033575703,0.0011416414816432256,1329.0257750455385,2044.3114763334818,1224.7025602692688,73131,0
-0.4458360673511379,1.001201150087704,0.0011417424809809689,1329.0271639328798,2044.3267278303815,1224.7124533571914,73132,0
-0.44444718006752737,0.9995737041796386,0.0011412882535815896,1329.0285528201634,2044.308749586736,1224.6923549829507,73133,0
-0.4430582927247997,0.9999307875434008,0.0011410549953937501,1329.0299417075062,2044.3224729175645,1224.7105885176009,73134,0
-0.44166940538343624,0.9974515706683232,0.001139985486229038,1329.0313305948475,2044.3181633240968,1224.7134928026678,73135,0
-0.4402805180998257,0.9996841504059615,0.001141104812852651,1329.0327194821311,2044.3147284915083,1224.6923192795844,73136,0
-0.43889163075709803,0.9996550121967779,0.0011411585619454576,1329.0341083694739,2044.3156563168386,1224.7034122545667,73137,0
-0.4375027434159616,1.002365982023096,0.001141874438284336,1329.035497256815,2044.3196767623253,1224.7003987680637,73138,0
-0.43611385613212406,0.9995842505808263,0.001140702140992785,1329.0368861440988,2044.315331443404,1224.7046197398354,73139,0
-0.43472496878939637,1.003693529315866,0.0011422936858454713,1329.0382750314416,2044.312257989203,1224.6996717982101,73140,0
-0.4333360814468957,1.0011633220228968,0.0011409837850431185,1329.039663918784,2044.318477823861,1224.7038628364928,73141,0
-0.43194719416305816,0.9978112270771261,0.001140352135909424,1329.041052806068,2044.3250184091974,1224.7142437973214,73142,0
-0.4305583068219224,1.0009947317833927,0.0011412045247512432,1329.042441693409,2044.3048353300817,1224.6887482908649,73143,0
-0.4291694194794218,1.000625774091775,0.0011418060066576028,1329.0438305807515,2044.3238085744283,1224.7143467350643,73144,0
-0.4277805321955842,1.0013753041294973,0.001141589503146016,1329.0452194680354,2044.3231955393085,1224.7041735811626,73145,0
-0.4263916448544478,1.0019189248439333,0.0011420700994303585,1329.0466083553765,2044.3087813519894,1224.6998343830817,73146,0
-0.4250027575699278,0.9978873690636982,0.001140599665687057,1329.047997242661,2044.3181437099024,1224.7099678172017,73147,0
-0.4236138702278819,0.9998689562379209,0.0011417112445255093,1329.049386130003,2044.320265689299,1224.706694642989,73148,0
-0.42222498288674615,1.0023415079549571,0.0011423560750623196,1329.0507750173442,2044.313678004901,1224.6989325961474,73149,0
-0.4208360956022261,0.9997280108062645,0.0011410529537049683,1329.0521639046287,2044.3190790280516,1224.7131462788104,73150,0
-0.41944720825949844,1.0003761255124481,0.0011416588863226427,1329.0535527919715,2044.3163977973006,1224.7004260771819,73151,0
-0.4180583209183627,1.0011666384401166,0.001142727983683693,1329.0549416793126,2044.315012926142,1224.6978712723335,73152,0
-0.41666943363452447,1.000834135855667,0.0011419743744313859,1329.0563305665964,2044.3156414469995,1224.7036720447059,73153,0
-0.4152805462917968,0.9991407402374018,0.0011410235269975811,1329.0577194539392,2044.3159591306119,1224.7062378514154,73154,0
-0.41389165900886804,1.000897286353086,0.0011416671759439706,1329.059108341222,2044.315616429208,1224.7026502242747,73155,0
-0.4125027716668228,1.000522248362843,0.0011419074689305669,1329.0604972285641,2044.3107360053386,1224.69572978643,73156,0
-0.41111388432432217,1.0000635230213246,0.0011417699158253367,1329.0618861159066,2044.3333511443918,1224.7193030600306,73157,0
