input_value,output_value,vary_flags
0.536904,0.623448,True
0.045921,0.014261,True
-0.000056,-0.000056,False
2.438902,2.438902,False
0.154167,0.061092,True
7.863801,9.918375,True
0.900000,0.635478,True
1.000000,1.000000,False
2.363428,1.549422,True
2.878846,0.356415,True
1.000000,1.000000,False
1.102164,1.198678,True
2.709945,2.217768,True
0.000000,0.000000,False
0.000000,0.000000,False
0.000000,0.000000,False
0.000000,0.000000,False
