time,flux,flux_err,time_bin_start,time_bin_size,time_original,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
-0.11223338517351036,0.999754252189241,0.0002630921159821838,-0.11245830423081316,38.86601310192117,1525.6974912358526,0.00010321340722448977,214734,958.3073285714287,801.7690046938776,16409.746285714285,15.750919612244896,1427.1170291836734,4.674916022448979,11078.253653061225,20.214665591836734,0,nan,nan,nan,nan,958.3073285714287,0.0006859747355102041,801.7690046938776,0.000761778785510204,-0.004104641477551021,-0.02358341570877551
-0.11178354705890481,0.9996538584721306,0.0002735396768693198,-0.11200846611620759,38.86601310192117,1496.186739692021,2.02027902380953e-06,193486,1115.6634014285712,839.6314826190477,17069.687761904763,15.620357404761908,1354.8884999999998,4.375643969047618,11272.789714285715,19.804199404761906,0,nan,nan,nan,nan,1115.6634014285712,0.0006730978711904761,839.6314826190477,0.0007269512997619047,-0.014316433804761905,-0.00526859232642857
-0.11133370894429923,0.9999011340646119,0.0002516168627174274,-0.11155862800160202,38.86601310192237,1507.0802409398095,0.00024427107272,201329,1121.1000038,805.3569648,17091.15794,15.50477352,1304.1504177999998,4.18051534,11064.583399999998,19.56296114,4000000000,nan,nan,nan,nan,1121.1000038,0.0006609299000000001,805.3569648,0.0007001942958,-0.013073665511800002,-0.019984492373999997
-0.11088387082969364,1.0000524351223927,0.0002626664854140328,-0.11110878988699643,38.86601310192117,1523.8617271426144,8.14659395510204e-05,213412,924.6322663265306,831.4162732653061,16536.99651020408,15.777353653061223,1431.5665053061223,4.664633659183673,11100.42806122449,20.216817959183672,0,nan,nan,nan,nan,924.6322663265306,0.0006858469748979592,831.4162732653061,0.0007570661379591836,-0.0031435261183673474,-0.020107897275714284
-0.11043403271508809,1.000427049496837,0.00027872449994331873,-0.11065895177239086,38.86601310192117,1513.0636093782632,0.00013038777070731707,205637,1049.9874739024392,811.7666370731707,16799.262853658536,15.588286268292682,1317.7713612195123,4.398130419512195,11193.750731707318,19.769412804878048,0,nan,nan,nan,nan,1049.9874739024392,0.0006745520904878049,811.7666370731707,0.0007258854563414634,-0.010591585126341462,-0.024131230173170728
-0.1099841946004825,0.9995455850995447,0.0002446295758077839,-0.1102091136577853,38.86601310192117,1497.8412595362354,0.00021387909696153848,194677,1193.634577115385,787.9773192307692,17096.09332692308,15.428072923076922,1311.8313915384615,4.121036648076923,11089.491365384618,19.456109653846152,3846153846,nan,nan,nan,nan,1193.634577115385,0.0006605014846153846,787.9773192307692,0.0006986022323076924,-0.02129370887019231,-0.021682067256153847
-0.10953435648587694,0.9995595173462372,0.00025765927538712476,-0.10975927554317973,38.86601310192237,1522.8837548655213,5.0985826901960784e-05,212708,909.1978658823529,809.8006380392159,16656.971686274508,15.846529039215685,1434.0018660784315,4.703456050980392,11113.335411764705,20.259472392156862,0,nan,nan,nan,nan,909.1978658823529,0.0006870531631372549,809.8006380392159,0.0007582221284313727,-0.0033366521960784324,-0.017874080578431373
-0.10908451837127137,1.0007261896259105,0.0002704016930113427,-0.10930943742857414,38.86601310192117,1505.0781268855183,0.0001319109282790698,199888,1078.6237234883722,827.2493972093025,16914.99434883721,15.540835906976747,1333.3926679069766,4.323961681395349,11193.325488372095,19.65512779069767,0,nan,nan,nan,nan,1078.6237234883722,0.0006736779511627907,827.2493972093025,0.0007200661839534883,-0.009460328853023255,-0.022991543868372093
-0.10863468025666578,0.9996293634692558,0.0002577035455055551,-0.10885959931396857,38.86601310192117,1491.0928918442078,0.00021222003054347828,189818,1153.1272458695653,791.2482432608695,17268.2412826087,15.403431391304348,1298.251862826087,4.03120719347826,11144.779630434783,19.38355332608696,4347826086,nan,nan,nan,nan,1153.1272458695653,0.0006548798719565217,791.2482432608695,0.0006831108636956522,-0.021664140517826086,-0.015685474061521737
-0.10818484214206023,0.9996710439163754,0.0002678815180312252,-0.108409761199363,38.86601310192117,1525.059225444912,6.241866638297873e-05,214274,902.3080706382979,810.3897199999998,16777.89955319149,15.859059170212765,1410.2616225531913,4.662672768085107,11131.529680851063,20.242087255319145,0,nan,nan,nan,nan,902.3080706382979,0.000682658634680851,810.3897199999998,0.0007487059323404258,-0.006211065040851065,-0.011051977825531916
-0.10773500402745464,1.00011357971275,0.0002613703838526465,-0.10795992308475744,38.86601310192237,1515.4128133648646,8.139417747916667e-05,207329,1060.480468125,859.802950625,16579.6919375,15.665530437500001,1377.4360866666666,4.572506333333333,11147.547687500002,19.979722104166665,0,nan,nan,nan,nan,1060.480468125,0.0006880289941666668,859.802950625,0.0007543695941666667,-0.008974578780416667,-0.02544469698125
-0.10728516591284906,1.0005141346735509,0.0002444622403371679,-0.10751008497015185,38.86601310192117,1489.4082240363414,0.00019058974825490196,188605,1175.1400864705884,778.8387707843136,17206.01268627451,15.381965215686275,1308.919587254902,4.039994092156863,11158.119411764705,19.36850525490196,3921568627,nan,nan,nan,nan,1175.1400864705884,0.00065497266,778.8387707843136,0.0006884213660784313,-0.02002110670196078,-0.018855451430784313
