time,flux,flux_err,time_bin_start,time_bin_size,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
-0.23517632579333958,0.999971911320562,0.00020636340868290803,-0.23621799246000624,179.99999999999937,-4.0205784898716956e-05,497633,1099.604839236207,1143.8491946303955,5163.8232421875,10.915555000305176,1203.1888427734375,4.693421363830566,5735.3759765625,12.710433006286621,0,nan,nan,nan,nan,1099.604839236207,0.001551176654174924,1143.8491946303955,0.0017194276442751288,-0.0031689214520156384,-0.016156405210494995
-0.23309299246000625,0.9999013598380153,0.00021815476555335234,-0.23413465912667292,180.00000000000176,-3.8102196413092315e-05,511006,1082.2247349117106,1189.445268211669,5172.5810546875,10.782994270324707,1172.2857666015625,4.573822498321533,5736.5166015625,12.540842056274414,0,nan,nan,nan,nan,1082.2247349117106,0.0015339929377660155,1189.445268211669,0.0016782680759206414,-0.0030957453418523073,-0.011290925554931164
-0.2310096591266729,0.9999344474300113,0.0002043377195270767,-0.23205132579333956,179.99999999999937,-3.480715895420872e-05,496245,1097.370642582359,1143.735082780575,5159.52392578125,10.896442413330078,1193.220703125,4.674936771392822,5735.23828125,12.694864273071289,0,nan,nan,nan,nan,1097.370642582359,0.0015477961860597134,1143.735082780575,0.0017173702362924814,-0.0020824105013161898,-0.014652355574071407
-0.22892632579333957,1.0002378879851794,0.00021916476688155922,-0.22996799246000624,179.99999999999937,-4.331614400143735e-05,510645,1077.2663416100063,1200.9753652416557,5172.337890625,10.77665901184082,1171.4139404296875,4.565433025360107,5737.826171875,12.534823417663574,0,nan,nan,nan,nan,1077.2663416100063,0.001533343456685543,1200.9753652416557,0.0016746839974075556,-0.0039174980483949184,-0.012789279222488403
-0.22684299246000625,0.9998882123056201,0.00020363305370168293,-0.2278846591266729,179.99999999999937,-3.234727046219632e-05,496916,1098.9076244883329,1137.2191668766181,5161.59130859375,10.907808303833008,1200.9158935546875,4.690560817718506,5734.94970703125,12.704560279846191,0,nan,nan,nan,nan,1098.9076244883329,0.0015486445045098662,1137.2191668766181,0.0017203986644744873,-0.0026601620484143496,-0.014834899455308914
-0.2247596591266729,1.000134617345181,0.00021923663583142724,-0.22580132579333959,180.00000000000176,-3.518668745527975e-05,511747,1078.8004399811573,1186.9804768973747,5172.650390625,10.780414581298828,1172.9222412109375,4.571050643920898,5738.1845703125,12.540594100952148,0,nan,nan,nan,nan,1078.8004399811573,0.0015332617331296206,1186.9804768973747,0.0016786401392892003,-0.0038568824529647827,-0.011149890720844269
-0.22267632579333957,1.0000293572357528,0.0002063995172452533,-0.22371799246000623,179.99999999999937,-2.2875190552440472e-05,498752,1102.1581168663995,1132.1749372484846,5161.751953125,10.915470123291016,1208.8350830078125,4.697268962860107,5736.5400390625,12.714886665344238,0,nan,nan,nan,nan,1102.1581168663995,0.0015494591789320111,1132.1749372484846,0.0017258741427212954,-0.0028871523682028055,-0.014769056811928749
-0.22059299246000624,0.9999436757492838,0.00021895812282872733,-0.2216346591266729,179.99999999999937,-3.4543285437393934e-05,511279,1066.1444778845134,1198.202553625222,5167.29931640625,10.763513565063477,1168.051513671875,4.550651550292969,5735.98486328125,12.522717475891113,0,nan,nan,nan,nan,1066.1444778845134,0.0015317186480388045,1198.202553625222,0.0016748555935919285,-0.0034838838037103415,-0.012165077030658722
-0.21850965912667292,1.0000465462735313,0.00020533375988174006,-0.21955132579333958,179.99999999999937,-2.7847134333569556e-05,497856,1093.339282466402,1132.1139476625312,5159.65673828125,10.902212142944336,1204.96630859375,4.684883117675781,5736.45703125,12.703277587890625,0,nan,nan,nan,nan,1093.339282466402,0.0015484585892409086,1132.1139476625312,0.0017211890080943704,-0.0028663973789662123,-0.013889971189200878
-0.2164263257933396,0.9999806857466771,0.000217976789100872,-0.21746799246000625,180.00000000000176,-2.9683749744435772e-05,511733,1071.2126317252719,1186.6996673829324,5168.98388671875,10.77121353149414,1170.8436279296875,4.561920642852783,5736.796875,12.530247688293457,0,nan,nan,nan,nan,1071.2126317252719,0.00153256522025913,1186.6996673829324,0.0016777357086539268,-0.0035354432184249163,-0.011548550799489021
-0.21434299246000624,0.9996435407179226,0.0002043557314808321,-0.2153846591266729,179.99999999999937,-3.755133002414368e-05,496656,1107.1317497982918,1145.6718716296448,5157.8984375,10.896611213684082,1193.76318359375,4.676647663116455,5733.4541015625,12.695828437805176,0,nan,nan,nan,nan,1107.1317497982918,0.0015466950135305524,1145.6718716296448,0.0017159299459308386,-0.003304915502667427,-0.01475078146904707
-0.2122596591266729,1.0001358773284994,0.00021896211103121155,-0.21330132579333957,179.99999999999937,-4.1707768104970455e-05,510846,1073.2185733975136,1198.3253754882512,5168.505859375,10.762187957763672,1169.8890380859375,4.551762580871582,5737.37353515625,12.523558616638184,0,nan,nan,nan,nan,1073.2185733975136,0.0015307936118915677,1198.3253754882512,0.001674035331234336,-0.00329184764996171,-0.012825267389416695
-0.21017632579333956,1.0001245636857656,0.00020722379058221322,-0.21121799246000625,180.00000000000176,-3.9659891626797616e-05,496591,1108.9463503840616,1153.3979572068679,5163.140625,10.91110610961914,1200.170654296875,4.686060428619385,5736.4345703125,12.709294319152832,0,nan,nan,nan,nan,1108.9463503840616,0.0015495383413508534,1153.3979572068679,0.0017203541938215494,-0.003000102937221527,-0.015975316986441612
