time,flux,flux_err,time_bin_start,time_bin_size,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
-0.29377868082851516,1.0001071859210424,0.00012533018943613504,-0.2948203474951818,179.99999999999937,0,0.0005209496594034135,744.8409156841121,1000.01506481832,1909904,72354.671875,42.23700714111328,1418.341796875,0.5281276106834412,78095.9765625,45.896793365478516,0,nan,nan,nan,nan,744.8409156841121,0.0007193369674496353,1000.01506481832,0.0006253878236748278,-0.0005890306201763451,0.00459583243355155
-0.29169534749518183,1.0000028657932427,0.00012823722536178187,-0.2927370141618485,179.99999999999937,0,0.0005060710827820003,744.8416100394352,1000.0139183710605,1910456,72385.6171875,42.245025634765625,1421.880859375,0.5282344818115234,78120.3125,45.90056228637695,0,nan,nan,nan,nan,744.8416100394352,0.0007192683406174183,1000.0139183710605,0.0006250209989957511,-0.00047430582344532013,0.003833858296275139
-0.2896120141618485,0.9999551040256895,0.00012822552277290647,-0.29065368082851517,179.99999999999937,780,0.0005059882532805204,744.8413660892688,1000.0135066472232,1910459,72382.0390625,42.24574279785156,1421.893798828125,0.5282597541809082,78116.5,45.89643096923828,780,nan,nan,nan,nan,744.8413660892688,0.0007192149641923606,1000.0135066472232,0.0006251030717976391,-0.0004762313619721681,0.003833408234640956
-0.2875286808285151,1.0000348457697865,0.0001251863345166005,-0.28857034749518184,180.00000000000415,0,0.000563410809263587,744.8407656100251,1000.0150695465171,1908471,72439.15625,42.256954193115234,1414.46630859375,0.52818763256073,78179.3359375,45.89612579345703,0,nan,nan,nan,nan,744.8407656100251,0.0007182330009527504,1000.0150695465171,0.0006247514393180609,-0.00045133932144381106,0.003613772103562951
-0.2854453474951818,1.0000151253904872,0.00012819393079414326,-0.28648701416184846,179.99999999999937,0,0.0005058187525719404,744.8413943149405,1000.0140652968764,1910465,72386.0625,42.24530792236328,1421.90380859375,0.5282998085021973,78120.984375,45.88533020019531,0,nan,nan,nan,nan,744.8413943149405,0.0007191578042693436,1000.0140652968764,0.0006250231526792049,-0.0004780545423272997,0.003828231478109956
-0.2833620141618485,0.9999143012426037,0.00012817451619354176,-0.28440368082851514,179.99999999999937,0,0.0005057359812781215,744.8407800229427,1000.0138537198652,1910468,72378.6640625,42.2439079284668,1421.9205322265625,0.5283111333847046,78113.09375,45.87845993041992,0,nan,nan,nan,nan,744.8407800229427,0.0007193480269052088,1000.0138537198652,0.0006251891609281301,-0.0004754902911372483,0.0038316657301038504
-0.28127868082851515,1.0000547282710501,0.00012246756807518028,-0.2823203474951818,179.99999999999937,0,0.0003936344583053142,744.8431113819672,1000.0107868195922,1914478,72421.5390625,42.25918960571289,1440.8687744140625,0.5286152362823486,78159.203125,45.896827697753906,0,nan,nan,nan,nan,744.8431113819672,0.0007196805672720075,1000.0107868195922,0.0006248286226764321,-0.00048139988211914897,0.004149050451815128
-0.2791953474951818,0.9999535804578955,0.0001252413904733553,-0.2802370141618485,179.99999999999937,372,0.0005349211860448122,744.8405390454864,1000.0149706698347,1909445,72358.171875,42.239253997802734,1417.1856689453125,0.5282469987869263,78087.046875,45.86683654785156,372,nan,nan,nan,nan,744.8405390454864,0.0007191412150859833,1000.0149706698347,0.0006253268802538514,-0.000458844646345824,0.0038994038477540016
-0.2771120141618485,0.9998308239145255,0.00012812104780849311,-0.27815368082851516,179.99999999999937,0,0.0005054768407717347,744.8415406137268,1000.0137752841159,1910478,72371.328125,42.239051818847656,1421.98779296875,0.5283399224281311,78105.4453125,45.85911560058594,0,nan,nan,nan,nan,744.8415406137268,0.000719324394594878,1000.0137752841159,0.000625173095613718,-0.0004622687119990587,0.003846003208309412
-0.27502868082851517,1.0000163169903329,0.00012812986055594044,-0.27607034749518183,179.99999999999937,0,0.0005053940694779158,744.8416556879009,1000.0139085978537,1910481,72384.4765625,42.24481201171875,1422.00537109375,0.5283490419387817,78119.7109375,45.86211395263672,0,nan,nan,nan,nan,744.8416556879009,0.0007191768963821232,1000.0139085978537,0.0006250828155316412,-0.00045974220847710967,0.00385724357329309
-0.27294534749518184,1.0000949559290384,0.000128127916345197,-0.2739870141618485,179.99999999999937,0,0.0005053112981840968,744.8414473011351,1000.0144026996131,1910484,72389.4296875,42.245941162109375,1422.0166015625,0.5283373594284058,78125.109375,45.86104965209961,0,nan,nan,nan,nan,744.8414473011351,0.0007191455806605518,1000.0144026996131,0.0006250516744330525,-0.00045263455831445754,0.003864983795210719
-0.2708620141618485,0.9999867347088056,0.00012812396557341949,-0.2719036808285152,180.00000000000415,0,0.0005052285850979388,744.8415926689556,1000.014406539309,1910487,72381.125,42.24560546875,1422.0224609375,0.5283225178718567,78116.1875,45.85932922363281,0,nan,nan,nan,nan,744.8415926689556,0.0007192169432528317,1000.014406539309,0.0006251430022530258,-0.0004440450284164399,0.003871270688250661
-0.26877868082851514,1.0000654425160134,0.00012512038229212344,-0.2698203474951818,179.99999999999937,0,0.00047692254884168506,744.8419525000959,1000.0136356189549,1911383,72424.7109375,42.25246810913086,1424.2989501953125,0.5283275246620178,78158.3203125,45.859371185302734,0,nan,nan,nan,nan,744.8419525000959,0.000719153496902436,1000.0136356189549,0.0006247172714211047,-0.00034498932654969394,0.002962447004392743
