input_value,output_value,vary_flags
0.501561,0.274796,True
0.000000,0.000000,True
-0.000011,0.000015,True
2.650220,2.650220,False
0.078657,0.074338,True
5.042485,5.105078,True
0.874854,0.880339,True
1.000000,1.000000,False
3.048484,3.106338,True
2.107604,1.686113,True
1.000000,1.000000,False
1.524687,2.449994,True
2.308919,2.449992,True
0.000000,0.000000,False
0.000000,0.000000,False
0.000000,0.000000,False
0.000000,0.000000,False
